handle,list,why,manual_engagement_note
OpenAIDevs,AI Coding Agents,OpenAI developer updates,Follow manually; watch Codex/API posts
OpenAI,AI Coding Agents,OpenAI official,Follow manually
AnthropicAI,AI Coding Agents,Anthropic official,Follow manually
claudeai,AI Coding Agents,Claude official,Follow manually
cursor_ai,AI Coding Agents,Cursor official,Follow manually
windsurf,AI Coding Agents,Windsurf coding agent,Follow manually
cline,AI Coding Agents,Cline agent,Follow manually
OpenHandsDev,AI Coding Agents,OpenHands agent,Follow manually
goose_oss,AI Coding Agents,Goose OSS agent,Follow manually
AiderAIAgent,AI Coding Agents,Aider account,Follow manually
github,DevTools OSS,GitHub official,Follow manually
GitHubNext,DevTools OSS,Future dev experience,Follow manually
GHchangelog,DevTools OSS,GitHub changelog,Follow manually
vercel,DevTools OSS,Developer platform,Follow manually
vercel_dev,DevTools OSS,Vercel dev-facing,Follow manually
v0,DevTools OSS,AI app builder,Follow manually
LangChainAI,DevTools OSS,AI framework,Follow manually
huggingface,DevTools OSS,AI/ML platform,Follow manually
addyosmani,AI Engineering,AI and devtools writing,Engage thoughtfully
mattpocockuk,AI Engineering,TypeScript and skills audience,Engage thoughtfully
simonw,AI Engineering,LLM and software quality,Engage thoughtfully
swyx,AI Engineering,AI engineering community,Engage thoughtfully
aiDotEngineer,AI Engineering,AI Engineer community,Follow manually
latentspacepod,AI Engineering,AI engineering podcast,Follow manually
semgrep,AppSec QA,Deep checks and AppSec fit,Engage on Semgrep posts
snyksec,AppSec QA,Security tooling,Follow manually
owasp,AppSec QA,Security standards,Follow manually
PortSwigger,AppSec QA,Web security,Follow manually
GitGuardian,AppSec QA,Secrets and security,Follow manually
